"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Arable land (% of land area)","AG.LND.ARBL.ZS","","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","","",
"Africa Eastern and Southern","AFE","Arable land (% of land area)","AG.LND.ARBL.ZS","","4.70284308303317","4.75458753325216","4.86672338425724","4.91867371425164","4.97268284200011","5.00226090306693","5.02538806450433","5.06697577913657","5.1286024585751","5.21116024851336","5.26345371146677","5.31478640213495","5.32617841637414","5.34656051413945","5.39164818495361","5.41333418796316","5.41621650481886","5.49486257902438","5.47194129736238","5.4637747329379","5.46617666365099","5.47331382919843","5.49952918726694","5.5040585423259","5.64803713192728","5.67885047164655","5.68296806715469","5.70945793159041","5.76230040727823","5.74445749340962","5.75873182450451","5.7874177398779","5.92206311299416","5.96488610627885","6.05547320745798","6.10261967602621","6.12176649513908","6.10433534082127","6.16390322250573","6.16273657044509","6.18458727727497","6.25943143829464","6.49687944593086","6.58503551439195","6.73485121980339","6.80582177700868","6.91687365332188","7.0450727644506","7.29142707441248","7.43497991272416","7.6254021141378","7.85211226176595","7.90257927135705","7.96932747628754","8.00153363170286","8.06289845146112","8.14483294145347","8.2055748056842","8.21089299549572","8.24055073342189","","",
"Afghanistan","AFG","Arable land (% of land area)","AG.LND.ARBL.ZS","","11.7289913067476","11.8056513806479","11.8823114545482","11.9589715284486","11.9589715284486","12.0126335801788","12.0264323934808","12.0264323934808","12.0509636171289","12.066295631909","12.1122916762492","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","11.9957683639207","11.810250985082","11.7335909111816","11.7243917023136","11.7826533584778","11.8930438648943","11.7335909111816","11.7795869555218","11.7795869555218","11.7719209481318","11.9160418870644","11.9835027520967","11.9666375358386","11.9497723195805","11.9497723195805","11.9497723195805","11.9482391181025","11.9482391181025","11.9451727151465","11.9436395136685","11.9359735062785","11.9145086855864","11.9053094767183","11.8501142235101","11.8041181791699","11.9497723195805","11.9405731107125","12.0034343713107","","",
"Africa Western and Central","AFW","Arable land (% of land area)","AG.LND.ARBL.ZS","","6.98402158605794","7.0764863628023","7.33171098912517","7.44569439500894","7.69817212692531","7.68936990553336","7.69615368459683","7.79509494195597","8.40107863966272","7.98505844197476","7.83152970514824","7.36145593141276","7.91083481271375","7.37250419514093","7.30937520036967","7.36078038599214","6.76481187913038","6.60197351693276","6.53697083059725","6.78725328274621","6.40508612855939","6.56062827086221","6.59721991912251","7.0205112218073","7.27145696667396","7.8223215687315","7.81391986097385","7.90888126839255","7.92380535454101","8.10267329074994","8.42890275907661","8.57416386425493","8.71710344492128","8.85495778141852","9.22363798367858","9.44573049532489","9.53814928065905","9.62444366323302","9.81454335612849","9.78896236698217","9.69202434726469","9.86383484895719","10.1848895285979","10.0617005940892","10.3032375317551","10.3487869481681","10.4659697671179","10.5763726290049","10.2016465136229","10.4376880711227","10.5904023754723","10.8344045510724","11.0206980492561","11.0150069977382","11.0098299980765","11.0930920274426","11.1100247850379","11.1048477853762","11.0996928954717","11.0949058748213","","",
"Angola","AGO","Arable land (% of land area)","AG.LND.ARBL.ZS","","2.14165396647148","2.16571749418465","2.18175984599342","2.20582337370659","2.22186572551536","2.24592925322852","2.26999278094169","2.29405630865485","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.36624689179434","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.48656453036015","2.6469880484479","2.6469880484479","2.6469880484479","2.6469880484479","2.72719980749178","2.72719980749178","3.20847036175503","3.28868212079891","3.76995267506216","3.76995267506216","3.93037619314992","3.93037619314992","3.93037619314992","3.93037619314992","3.93037619314992","3.93037619314992","3.93037619314992","3.93037619314992","","",
"Albania","ALB","Arable land (% of land area)","AG.LND.ARBL.ZS","","15.7664233576642","15.9124087591241","16.0583941605839","16.1678832116788","16.7883211678832","17.3357664233577","17.8102189781022","18.2481751824818","18.6131386861314","19.014598540146","19.3430656934307","19.7080291970803","20","20.3284671532847","20.5474452554745","20.985401459854","21.1678832116788","21.2773722627737","21.2773722627737","21.3503649635036","21.4598540145985","21.4963503649635","21.4963503649635","21.4963503649635","21.4963503649635","21.4963503649635","21.5328467153285","21.5328467153285","21.2408759124088","21.1313868613139","21.0948905109489","21.0948905109489","21.0583941605839","21.0583941605839","21.0583941605839","21.0583941605839","21.0948905109489","21.0583941605839","21.0583941605839","21.0948905109489","21.0948905109489","21.0948905109489","21.0948905109489","21.0948905109489","19.6350364963504","21.3138686131387","21.0948905109489","22.2627737226277","22.2262773722628","22.8467153284672","22.7007299270073","22.5948905109489","22.521897810219","22.4671532846715","22.4489051094891","22.6386861313869","22.3357664233577","22.311897810219","22.2627737226277","21.8832116788321","","",
"Andorra","AND","Arable land (% of land area)","AG.LND.ARBL.ZS","","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","1.59574468085106","1.80851063829787","1.82978723404255","1.72340425531915","1.70212765957447","1.65957446808511","1.63829787234043","1.61702127659574","1.63829787234043","1.63829787234043","1.63829787234043","1.61702127659574","1.72340425531915","1.70212765957447","1.72340425531915","1.74468085106383","1.74468085106383","1.76595744680851","1.70212765957447","1.53191489361702","","",
"Arab World","ARB","Arable land (% of land area)","AG.LND.ARBL.ZS","","3.38523791475281","3.38685420092244","3.40360480304414","3.43144900569381","3.46553795036253","3.45730958440801","3.47846823971963","3.47060721153094","3.48801902163113","3.50851646896426","3.5302628647012","3.5709638891548","3.57934970885825","3.60881028425341","3.61358568924265","3.65340522007601","3.64510336217164","3.66258869120916","3.65443376884292","3.64767473408892","3.67174277523469","3.68612335635152","3.67417749710151","3.70926717296245","3.73148676503854","3.75506991890848","3.79167156145678","3.80026729043741","3.80980340686208","3.85185635787502","3.90425357077235","3.96519513635267","4.14035673398337","4.12716781945998","4.20572972819684","4.25101960256787","4.22203367155151","4.21613421836396","4.19441570838511","4.11822974380871","4.11443146572906","4.14899065351762","4.28693879791064","4.23840853306469","4.29425627372532","4.24823516265259","4.27964759655026","4.21721122114272","4.2264107769433","4.2430363007881","4.2435527879403","4.43289208142598","4.45681924370254","4.44446861651293","4.47268515436935","4.53755229273566","4.594424286651","4.58572936362117","4.5287786761881","4.59619164815154","","",
"United Arab Emirates","ARE","Arable land (% of land area)","AG.LND.ARBL.ZS","","0.070402703463813","0.070402703463813","0.070402703463813","0.070402703463813","0.070402703463813","0.0844832441565756","0.0844832441565756","0.0844832441565756","0.0844832441565756","0.0985637848493382","0.0985637848493382","0.0985637848493382","0.112644325542101","0.126724866234863","0.154885947620389","0.154885947620389","0.168966488313151","0.168966488313151","0.168966488313151","0.225288651084202","0.267530273162489","0.253449732469727","0.32385243593354","0.337932976626302","0.366094058011828","0.408335680090115","0.408335680090115","0.408335680090115","0.408335680090115","0.492818924246691","0.492818924246691","0.535060546324979","0.563221627710504","0.591382709096029","0.605463249788792","0.64770487186708","0.633624331174317","0.506899464939454","0.605463249788792","0.844832441565756","0.999718389186145","1.0560405519572","0.901154604336806","0.887074063644044","0.957476767107857","0.712475359053788","0.627992114897212","0.72655589974655","0.702618980568854","0.712475359053788","0.635032385243593","0.522388059701493","0.528020275978598","0.619543790481555","0.620951844550831","0.626584060827936","0.626584060827936","0.595606871303858","0.702618980568854","0.689946493945367","","",
"Argentina","ARG","Arable land (% of land area)","AG.LND.ARBL.ZS","","6.79543536169606","7.00846643207671","7.1619364999324","7.30809846931878","7.47655013903657","7.895669586252","8.16351139515254","8.71527282958611","8.76131384994281","8.80735487029952","8.85339589065623","8.89943691101294","8.94547793136965","8.99151895172636","9.03755997208306","9.08360099243977","9.12964201279648","9.17568303315319","9.2217240535099","9.26776507386661","9.31380609422331","9.35984711458002","9.40588813493673","9.45192915529344","9.49797017565015","9.54401119600685","9.59005221636356","9.63463161702641","9.6722683241434","9.71063584110732","9.74900335807125","9.78737087503517","9.82573839199909","9.86520212373342","9.90430045054427","9.94339877735513","9.98286250908945","10.0212300260534","10.0603283528642","10.0997920845985","10.1385250064859","10.180911977608","10.8993711381267","11.6178302986454","12.3476170117916","13.0020206892268","13.5144645538954","13.0216794741092","12.6030715937867","13.8865198469684","14.1143132762571","14.4784027419985","14.3937749617238","13.8998936671673","13.4060123726107","12.9121310780541","12.4182497834976","11.9241710606609","11.9241710606609","11.9241710606609","","",
